"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"ABRAÃO RAMOS PEREIRA BRAZ";"ABRAÃO BRAZ";"Deputado Federal";3017;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"ADELZON ALVES";"ADELZON ALVES";"Deputado Federal";4300;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"ADEMIR MARTINS DA SILVA";"ADEMIR MARTINS";"Deputado Federal";4323;"PV";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Renúncia";"Concorrendo"
"ADEMIR ALVES DE MELO";"ADEMIR MELO";"Deputado Federal";1956;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"ADEMIR DA SILVA PANCOTE";"ADEMIR PANCOTE";"Deputado Federal";9095;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"ADENIR DE PAULA BRETAS JUNIOR";"ADENIR BRETAS ";"Deputado Federal";1512;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"ADILSON DOS REIS VIEIRA";"ADILSON REIS";"Deputado Federal";3670;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"ADRIANO DE ALMEIDA SILVA";"ADRIANO PEQUENO";"Deputado Federal";1918;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"ADRIANO RODRIGUES DE SOUZA";"ADRIANO RODRIGUES";"Deputado Federal";4501;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"ADRIELY ALVES OSÓRIO DA SILVA";"ADRIELY OSÓRIO";"Deputado Federal";4048;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"AGUINALDO MARTINS DOS SANTOS";"AGUINALDO MARTINS";"Deputado Federal";2332;"CIDADANIA";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"ALAINE CONCEIÇÃO DE OLIVEIRA";"ALAINE JAPONESA";"Deputado Federal";9097;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"ADRIANO LEITE DE ANDRADE";"ALAN ANDRADE";"Deputado Federal";3663;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"ALAN MANHAES DO NASCIMENTO";"ALAN BOSA";"Deputado Federal";4571;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"ALAN DOS SANTOS MARTINS";"ALANZINHO";"Deputado Federal";7017;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"JOSÉ ALBERTO DA SILVA MOURA";"ALBERTO DA 17";"Deputado Federal";4517;"PSDB";"Federação PSDB Cidadania(PSDB/CIDADANIA)";"Aguardando julgamento";"Concorrendo"
"ALDILAS HUNGRIA TOLEDO";"ALDINHO HUNGRIA";"Deputado Federal";1544;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"ALENCAR DACIOLO FONSECA DOS SANTOS";"ALENCAR DACIOLO";"Deputado Federal";1200;"PDT";"PDT";"Aguardando julgamento";"Concorrendo"
"ALESSANDRA DOS SANTOS MARQUES";"ALESSANDRA  MARQUES";"Deputado Federal";2989;"PCO";"PCO";"Aguardando julgamento";"Concorrendo"
"ALESSANDRA CRISTINA MAGALHAES SANTOS";"ALESSANDRA SANTOS";"Deputado Federal";1990;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE CARVALHO DA SILVA";"ALEXANDRE CARVALHO";"Deputado Federal";2824;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE GUSMÃO COIMBRA";"ALEXANDRE COIMBRA";"Deputado Federal";3317;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE MARQUES CORDEIRO";"ALEXANDRE DA COLÔNIA";"Deputado Federal";7725;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE TEIXEIRA DE FREITAS RODRIGUES";"ALEXANDRE FREITAS";"Deputado Federal";1900;"PODE";"PODE";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE LUIS GONZAGA MADEIRA";"ALEXANDRE MADEIRA";"Deputado Federal";4003;"PSB";"PSB";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE RODRIGUES METELLO";"ALEXANDRE METELLO OIPAZ";"Deputado Federal";5150;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE DE SOUZA MUNIZ";"ALEXANDRE MUNIZ";"Deputado Federal";3303;"PMN";"PMN";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE EDUARDO DE OLIVEIRA";"ALEXANDRE OLIVEIRA";"Deputado Federal";5580;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE DA SILVA PIMENTEL";"ALEXANDRE PIMENTEL";"Deputado Federal";2822;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ALEXANDRE DOS SANTOS SALGADO";"ALEXANDRE SALGADO";"Deputado Federal";7727;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"CLAUDIO ALEXANDRE DA CRUZ WEISSHUHN";"ALEXANDRE WEISSHUHN";"Deputado Federal";3012;"NOVO";"NOVO";"Aguardando julgamento";"Concorrendo"
"ALEXANDRINA LOPES DE ALMEIDA FALCAO";"ALEXANDRINA FALCÃO";"Deputado Federal";7710;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"ALEX CAMPANHAO DA SILVA";"ALEX CAMPANHAO";"Deputado Federal";5071;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"ALEX SANDRO DA CONCEIÇÃO";"ALEX SANDRO VIGILANTE";"Deputado Federal";3693;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"ALINE DO NASCIMENTO VIANA";"ALINE NASCIMENTO";"Deputado Federal";2805;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo"
"ALMIR OLIVEIRA MOURA";"ALMIR MOURA";"Deputado Federal";5180;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ALTINEU CORTES FREITAS COUTINHO";"ALTINEU CORTES";"Deputado Federal";2269;"PL";"PL";"Aguardando julgamento";"Concorrendo"
"ALVARO ALENCAR DE OLIVEIRA RODRIGUES";"ÁLVARO ALENCAR";"Deputado Federal";1345;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"DENILSON ALVES PASSOS";"ALVES ASSISTENTE SOCIAL";"Deputado Federal";1426;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
"AMANDA PADILHA DA SILVA";"AMANDA PADILHA";"Deputado Federal";2016;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"ANA CLAUDIA PORTO PAES";"ANA CLAUDIA";"Deputado Federal";5101;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo"
"ANA PAULA GOLDBACH";"ANA PAULA GOLDBACH";"Deputado Federal";1405;"PTB";"PTB";"Aguardando julgamento";"Concorrendo"
